TestCode                               N    rpm         G    r_0    H_p0    H_f0    d_p    rho_p     phi_p  IF      C_m        C_v    rho_f        mu_f    sigma_f
20210420_08g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.008  2632.25  0.60636   w     0      0          1000     0.00104792  0.0725
20210420_06g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.006  2671.94  0.603083  w     0      0          1000     0.00104792  0.0725
20210420_04g_010w_050_050_001    1            0    9.81    0.054    0.05    0.05  0.004  2661.87  0.600609  w     0      0          1000     0.00104792  0.0725
20210429_08g_300g_050_050_030   28.0783     116  275.448   0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.726  0.677719   1188.76  0.0330654   0.0658934
20210429_06g_300g_050_050_030   28.0783     116  275.448   0.054    0.05    0.05  0.006  2671.94  0.603083  g     0.731  0.683216   1190.06  0.0314989   0.0658479
20210429_04g_300g_050_050_030   28.0783     116  275.448   0.054    0.05    0.05  0.004  2661.87  0.600609  g     0.728  0.679916   1189.28  0.0321238   0.0658752
20210430_02g_300g_050_050_030   28.0783     116  275.448   0.054    0.05    0.05  0.002  2632.25  0.60636   g     0.728  0.679916   1189.28  0.0321238   0.0658752
20210504_00g_300g_000_050_030   28.0783     116  275.448   0.054    0       0.05  0      2671.94  0.603083  g     0.731  0.683216   1190.06  0.0314989   0.0658479
20210623_08g_150g_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.008  2632.25  0.60636   g     0.644  0.589441   1167.44  0.0156833   0.0666396
20210628_06g_150g_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.006  2671.94  0.603083  g     0.643  0.588386   1167.18  0.0158737   0.0666487
20210628_04g_150g_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.004  2661.87  0.600609  g     0.643  0.588386   1167.18  0.0158737   0.0666487
20210630_02g_150g_050_050_015   14.0308      82  137.642   0.054    0.05    0.05  0.002  2632.25  0.60636   g     0.642  0.587331   1166.92  0.0160674   0.0666578
20210630_00g_150g_000_050_015   14.0308      82  137.642   0.054    0       0.05  0      2671.94  0.603083  g     0.644  0.589441   1167.44  0.0156833   0.0666396
