  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0626485             0.730451          0.0623163           0.0196335           0.0615333             0.618447          0.0613063           0.00303799
      1          0.0656921             1.09193           0.0623981           0                   0.0641101             1.05912           0.061319            0
      2          0.071748              1.4436            0.0623163          -0.00981673          0.0703592             1.53131           0.0613063          -0.00151899
      3          0.0777221             1.41328           0.0623163           0.0359585           0.076871              1.49773           0.0613063           0.011067
      4          0.0835253             1.27259           0.062616            0.272211            0.0828403             1.27905           0.0613985           0.158355
      5          0.088327              1.12041           0.0645847           0.592583            0.0875297             1.04024           0.0626259           0.480273
      6          0.0928621             1.21982           0.0675542           0.900156            0.091509              1.03861           0.0654008           0.72852
      7          0.0984922             1.46714           0.072086            1.1203              0.0961848             1.20776           0.0686969           0.903313
      8          0.105088              1.64547           0.07689             1.37602             0.101574              1.24666           0.0729284           1.17825
      9          0.112204              1.78214           0.0835529           1.58174             0.106574              1.24568           0.0785157           1.29478
     10          0.119939              1.80058           0.0900712           1.52165             0.111954              1.36905           0.0837182           1.34832
     11          0.127209              1.66071           0.0962333           1.41312             0.117982              1.48568           0.0897517           1.35874
     12          0.133779              1.49111           0.101847            1.42679             0.124335              1.57813           0.0950411           1.38315
     13          0.139635              1.36398           0.108123            1.40021             0.131133              1.65896           0.101278            1.43187
     14          0.145145              1.33171           0.113516            1.3354              0.13816               1.69818           0.106973            1.41017
     15          0.150733              1.30996           0.119252            1.39576             0.145285              1.61154           0.113029            1.32521
     16          0.156062              1.17833           0.125147            1.36295             0.151589              1.45628           0.118017            1.29955
     17          0.160552              1.06015           0.130609            1.24922             0.157421              1.30655           0.123859            1.28078
     18          0.164896              1.00971           0.135557            1.20686             0.162477              1.16447           0.12869             1.24612
     19          0.168967              0.939206          0.140667            1.0813              0.167125              1.12736           0.134243            1.17586
     20          0.172723              0.830571          0.144568            1.04686             0.171872              1.10805           0.138489            1.08104
     21          0.175888              0.713421          0.14939             1.11764             0.176358              1.04496           0.143252            1.07355
     22          0.178668              0.682886          0.153882            1.05495             0.18058               0.976984          0.147435            1.07453
     23          0.181579              0.685435          0.158182            1.09871             0.1845                0.885844          0.152206            0.997491
     24          0.18438               0.653544          0.163038            1.09974             0.187962              0.814126          0.155747            0.972481
     25          0.187025              0.64568           0.167346            1.01519             0.191284              0.763674          0.16031             1.02581
     26          0.189761              0.680174          0.171498            1.05804             0.194326              0.716965          0.164296            1.02613
     27          0.192693              0.641613          0.176163            1.03021             0.197259              0.67937           0.168861            1.04919
     28          0.195107              0.614657          0.180083            1.00998             0.199987              0.654686          0.173039            1.00161
     29          0.197815              0.673395          0.18458             1.18321             0.202715              0.652733          0.177208            0.9523
     30          0.200719              0.711523          0.189943            0.739509            0.205427              0.65805           0.180975            0.910582
     31          0.203745              0.609017          0.190742            0.643348            0.208198              0.662143          0.184796            0.93429
     32          0.205794              0.463718          0.195304            0.728444            0.210945              0.655347          0.188761            0.901957
     33          0.207609              0.435516          0.196813            0.36208             0.21366               0.651618          0.192313            0.852481
