  Frame    r_f (m) (Cam 1)    v_f (m/s) (Cam 1)    r_p (m) (Cam 1)    v_p (m/s) (Cam 1)    r_f (m) (Cam 2)    v_f (m/s) (Cam 2)    r_p (m) (Cam 2)    v_p (m/s) (Cam 2)
      0          0.0624503             0.46448           0.0617374            0                  0.0616433             0.562213          0.061183           0
      1          0.0643856             0.537248          0.0617374            0                  0.0639858             0.742774          0.061183           0.000323297
      2          0.0669274             0.77395           0.0617374            0                  0.0678331             1.12281           0.0611857          0.00134707
      3          0.0708352             1.36303           0.0617374            0.0116781          0.0733426             1.49756           0.0611943          0.00296355
      4          0.078286              1.85153           0.0618347            0.0136612          0.0803128             1.75577           0.0612104          0.160786
      5          0.0862646             1.83225           0.0618513            0.0189494          0.087974              1.77371           0.0625341          0.436828
      6          0.0935547             1.74946           0.0619926            0.479904           0.0950937             1.66439           0.0648506          0.870638
      7          0.100843              1.72819           0.0658505            1.74968            0.101844              1.60124           0.0697895          1.08946
      8          0.107956              1.69332           0.0765733            1.6064             0.108437              1.57866           0.0739295          1.45343
      9          0.114954              1.67917           0.0792371            1.50752            0.114999              1.58216           0.0819014          1.93741
     10          0.121949              1.70467           0.089136             2.1718             0.121622              1.56497           0.0900745          1.71288
     11          0.12916               1.79463           0.0973354            1.89483            0.128041              1.55188           0.0961754          2.25866
     12          0.136905              1.90606           0.104926             1.70291            0.134554              1.56643           0.108897           1.97163
     13          0.145044              1.96473           0.111526             2.02747            0.141094              1.59924           0.112606           1.46335
     14          0.153277              1.97217           0.121822             1.48114            0.147881              1.63556           0.121091           2.08252
     15          0.161479              2.00081           0.123869             1.26344            0.154724              1.68583           0.12996            2.13688
     16          0.169951              2.04135           0.13235              1.02371            0.16193               1.78735           0.138899           2.25742
     17          0.17849               2.02808           0.1324               1.20235            0.169619              1.93983           0.148772           1.30639
     18          0.186851              2.00737           0.14237              0.93849            0.178095              2.12578           0.149785           0.739595
     19          0.195218              1.97398           0.140221             0.864841           0.187333              2.2169            0.154935           1.28952
     20          0.203301              1.9129            0.149577             0.731809           0.196569              2.2051            0.160531           1.33069
     21          0.211159              1.70765           0.146319             0.478031           0.205709              2.13446           0.166024           0.817079
     22          0.217532              1.18511           0.153561             0.950168           0.214357              2.07534           0.16734            0.315861
     23          0.221035              0.840713          0.154237             0.162392         nan                   nan               nan                nan
